Teams,+/-,+/-90,A-xA,Ast,Att 3rd,CS,CS%,DAtt,DSh,G+A-PK,G-PK,G-xG,G/SoT,GA90,GAtt,GCA,GCA90,GCADef,GCASh,GPKatt,L,LCmp%,Mis,Mn/Sub,PKA,PKatt,PLaunch%,PPM,PSxG,PSxG/SoT,Past,SCADef,SCADrib,SCAPassDead,Save%,SoTA,Subs,Succ%,TK Att 3rd,TK Def 3rd,Tkl%,Tkld,VSTkl,W,onGA,onxGA,xG,xG+/-,xG+/-90,xGA,acGA
Arsenal,1.4,1.4,0.2,1.55,197.8,0.45,45.0,11.1,2.4,3.65,2.1,0.24,0.4,0.85,3.9,3.75,3.75,0.0,0.5,0.15,0.1,57.4,15.1,13,0.1,0.05,38.6,2.5,0.92,0.27,4.8,0.6,1.2,2.45,75.8,3.1,3.7,43.8,3.15,6.45,56.8,8.05,6.3,0.8,0.85,0.93,1.91,0.98,0.98,1.272136868339387,0.85
Aston Villa,-0.29,-0.29,-0.18,0.71,132.6,0.24,23.8,14.8,3.19,1.76,1.05,-0.11,0.27,1.48,6.48,1.95,1.95,0.05,0.29,0.14,0.43,51.5,15.4,20,0.1,0.1,36.4,1.33,1.24,0.27,6.57,0.29,1.19,1.24,66.7,4.14,3.95,37.6,2.43,9.0,55.6,7.0,8.24,0.38,1.48,1.39,1.25,-0.13,-0.13,1.6174810323180275,1.48
Bournemouth,-1.14,-1.14,0.09,0.71,108.5,0.19,19.0,13.4,4.67,1.62,0.9,0.12,0.29,2.05,9.29,1.57,1.57,0.05,0.24,0.29,0.57,49.6,15.3,18,0.29,0.0,44.2,0.81,1.76,0.3,6.38,0.19,0.95,1.24,65.1,5.05,3.33,38.6,1.67,8.33,52.3,8.43,7.0,0.19,2.05,1.68,0.78,-0.9,-0.9,1.8509189181843175,2.05
Brentford,0.33,0.33,0.01,0.9,123.7,0.38,38.1,14.9,4.86,2.29,1.38,0.21,0.36,1.33,7.62,2.67,2.67,0.1,0.29,0.05,0.19,47.8,14.6,19,0.05,0.24,50.8,1.57,1.34,0.24,8.38,0.19,0.67,2.43,76.9,5.57,4.48,40.3,2.29,6.95,43.8,6.33,6.52,0.38,1.33,1.25,1.4,0.15,0.15,1.5314183037781863,1.33
Brighton,0.55,0.55,-0.07,1.05,180.1,0.3,30.0,13.1,2.6,2.6,1.55,0.14,0.3,1.35,6.0,3.0,3.0,0.0,0.15,0.3,0.3,57.1,14.9,17,0.25,0.15,26.5,1.7,1.15,0.25,6.1,0.25,1.3,1.75,68.1,3.45,3.8,41.2,2.5,7.7,53.3,6.65,6.95,0.5,1.35,1.26,1.56,0.31,0.31,1.5381115115993942,1.35
Chelsea,0.05,0.05,-0.2,0.71,171.9,0.38,38.1,16.0,2.71,1.67,0.95,-0.15,0.25,1.0,6.9,1.95,1.95,0.0,0.1,0.0,0.33,56.3,15.6,22,0.0,0.1,18.1,1.43,1.27,0.31,7.0,0.19,0.67,1.57,76.4,4.24,4.52,39.0,3.14,9.38,56.3,8.38,9.0,0.38,1.0,1.29,1.2,-0.09,-0.09,1.384407398510097,1.0
Crystal Palace,-0.48,-0.48,0.04,0.76,127.2,0.24,23.8,13.6,3.67,1.62,0.86,-0.08,0.24,1.38,7.71,1.52,1.52,0.05,0.14,0.05,0.43,48.7,17.3,19,0.05,0.1,34.3,1.14,1.25,0.28,5.9,0.38,1.33,1.81,69.9,4.43,3.81,40.2,2.29,10.3,56.6,8.9,7.71,0.29,1.38,1.41,0.93,-0.48,-0.48,1.5508291730426413,1.38
Everton,-0.57,-0.57,-0.18,0.57,123.6,0.24,23.8,13.1,4.9,1.24,0.67,-0.34,0.2,1.33,8.86,1.24,1.24,0.05,0.05,0.1,0.52,49.8,16.1,21,0.1,0.05,51.3,0.86,1.39,0.26,5.67,0.43,0.62,1.9,75.7,5.1,3.24,38.5,1.9,9.86,56.7,7.95,7.43,0.19,1.33,1.64,1.05,-0.59,-0.59,1.5354140166768144,1.33
Fulham,0.09,0.09,0.03,0.82,141.6,0.27,27.3,12.7,3.59,1.95,1.14,-0.0,0.3,1.36,7.0,2.23,2.23,0.05,0.32,0.14,0.36,53.9,15.5,14,0.14,0.32,34.0,1.45,1.55,0.29,5.05,0.41,0.82,2.23,76.5,5.23,3.91,39.7,3.05,7.36,60.2,6.32,7.64,0.41,1.36,1.67,1.32,-0.35,-0.35,1.5450816806809489,1.36
Leeds United,-0.38,-0.38,0.01,0.9,153.4,0.19,19.0,20.8,3.14,2.1,1.19,-0.06,0.32,1.71,7.9,1.86,1.86,0.05,0.29,0.1,0.48,41.3,16.3,21,0.1,0.1,42.2,0.9,1.39,0.28,10.1,0.29,0.86,2.38,65.3,4.67,4.38,37.4,3.33,10.1,51.1,8.67,10.6,0.19,1.71,1.53,1.3,-0.24,-0.24,1.712827230435059,1.71
Leicester City,-0.24,-0.24,0.02,1.0,127.9,0.29,28.6,16.0,3.67,2.38,1.38,0.22,0.35,1.76,7.71,2.52,2.52,0.1,0.29,0.1,0.57,52.9,15.2,24,0.1,0.1,28.6,1.0,1.37,0.29,7.95,0.38,0.81,1.05,62.8,4.48,3.48,38.9,1.67,8.71,50.3,6.1,8.05,0.29,1.76,1.61,1.2,-0.4,-0.41,1.736980216613346,1.76
Liverpool,0.3,0.3,-0.18,1.2,187.4,0.25,25.0,12.9,2.3,2.7,1.5,-0.27,0.27,1.4,5.25,2.75,2.75,0.05,0.25,0.15,0.35,59.7,15.8,21,0.1,0.0,18.4,1.45,1.69,0.34,6.85,0.55,1.5,2.55,72.0,4.65,4.3,42.5,2.1,6.35,46.9,7.15,6.05,0.4,1.4,1.46,1.77,0.31,0.31,1.5603867730781933,1.4
Manchester City,1.52,1.52,0.4,1.95,230.5,0.38,38.1,10.9,2.29,4.24,2.29,0.44,0.41,1.0,4.38,4.67,4.67,0.1,0.24,0.1,0.19,69.0,11.0,19,0.1,0.19,17.8,2.14,0.78,0.28,4.81,0.43,1.0,2.33,63.5,2.48,3.29,44.1,2.67,4.67,55.9,6.43,6.1,0.67,1.0,0.81,2.03,1.22,1.22,1.3798578628550746,1.0
Manchester Utd,0.36,0.36,0.03,1.18,168.4,0.36,36.4,14.0,3.64,2.64,1.45,0.01,0.29,1.27,4.45,2.82,2.82,0.0,0.09,0.05,0.23,52.4,13.6,20,0.05,0.09,30.9,1.95,1.08,0.28,6.18,0.32,0.86,1.18,67.5,3.77,3.68,37.3,2.14,9.55,55.8,7.59,7.82,0.59,1.27,1.15,1.53,0.38,0.38,1.5068207116179306,1.27
Newcastle Utd,1.05,1.05,-0.19,1.0,169.4,0.57,57.1,15.3,3.76,2.43,1.43,-0.04,0.31,0.57,5.48,2.43,2.43,0.1,0.24,0.1,0.05,53.5,14.0,14,0.05,0.14,34.7,1.9,0.7,0.23,7.14,0.33,1.19,3.0,82.5,3.0,3.95,35.5,2.43,7.29,53.3,8.57,8.14,0.48,0.57,0.89,1.61,0.72,0.72,1.1361846842268168,0.57
Nott'ham Forest,-0.86,-0.86,-0.4,0.43,108.8,0.33,33.3,12.5,3.95,1.14,0.71,-0.35,0.24,1.67,8.71,1.14,1.14,0.0,0.43,0.24,0.43,45.8,15.2,20,0.1,0.1,48.4,1.14,1.5,0.28,5.1,0.52,0.86,1.38,67.0,4.76,4.14,43.5,2.19,9.67,59.3,5.71,7.43,0.29,1.67,1.49,1.11,-0.38,-0.37,1.6982931525734304,1.67
Southampton,-1.0,-1.0,-0.22,0.57,137.0,0.05,4.8,13.0,3.48,1.38,0.81,-0.16,0.23,1.81,7.33,1.43,1.43,0.0,0.05,0.05,0.67,45.9,15.1,22,0.0,0.05,51.6,0.71,1.18,0.29,5.76,0.19,0.9,2.19,54.2,3.95,4.48,41.6,1.67,9.76,55.8,8.29,7.29,0.19,1.81,1.34,0.97,-0.38,-0.38,1.7535686369485846,1.81
Tottenham,0.45,0.45,0.09,1.18,142.7,0.32,31.8,12.6,4.14,2.86,1.68,0.32,0.33,1.41,7.64,3.0,3.0,0.09,0.27,0.05,0.32,58.3,14.7,15,0.05,0.14,30.3,1.77,1.26,0.27,5.82,0.64,1.14,1.64,69.7,4.5,3.77,40.5,2.32,8.45,53.8,7.36,6.77,0.55,1.41,1.22,1.45,0.23,0.23,1.5606107240825686,1.41
West Ham,-0.38,-0.38,-0.44,0.33,133.1,0.19,19.0,12.4,3.43,1.0,0.67,-0.41,0.2,1.24,6.71,1.33,1.33,0.0,0.33,0.14,0.57,52.6,12.6,21,0.1,0.29,50.5,0.9,1.22,0.27,6.24,0.43,0.86,2.05,71.4,4.0,3.19,35.9,2.19,7.71,49.6,6.38,6.14,0.24,1.24,1.11,1.27,0.16,0.16,1.4955767809360376,1.24
Wolves,-0.71,-0.71,-0.3,0.43,138.1,0.29,28.6,14.5,4.33,1.0,0.57,-0.33,0.18,1.43,7.71,1.14,1.14,0.0,0.1,0.14,0.52,56.0,14.5,22,0.05,0.1,27.9,0.95,1.26,0.27,6.9,0.33,0.95,1.57,67.0,4.19,3.9,40.7,2.29,10.4,52.5,8.67,7.62,0.24,1.43,1.46,1.0,-0.47,-0.47,1.5760844592380745,1.43
